save_name,avg_recall,search_duration,total_duration
gpu_bloom_smmh-k100-query66,0.020758,4748,5865
cpu-k100-query67,0.045224,150842,0
gpu_non_opt-k100-query67,0.000746,7972,8673
gpu_shared_mem-k100-query67,0.000597,6199,6744
gpu_eucdist_opt-k100-query67,0.000746,3728,4309
gpu_bloom_pq-k100-query67,0.045224,6358,6864
gpu_bloom_smmh-k100-query67,0.024627,5083,6214
cpu-k100-query68,0.045000,152972,0
gpu_non_opt-k100-query68,0.000588,7320,7904
gpu_shared_mem-k100-query68,0.000588,5838,6314
gpu_eucdist_opt-k100-query68,0.000588,3316,3759
gpu_bloom_pq-k100-query68,0.044265,6138,6664
gpu_bloom_smmh-k100-query68,0.017500,4406,5565
cpu-k100-query69,0.044638,153393,0
gpu_non_opt-k100-query69,0.000870,7265,7854
gpu_shared_mem-k100-query69,0.000870,5889,6484
gpu_eucdist_opt-k100-query69,0.000870,4094,4602
gpu_bloom_pq-k100-query69,0.044638,6511,7072
gpu_bloom_smmh-k100-query69,0.021449,4474,5598
cpu-k100-query70,0.044286,154631,0
gpu_non_opt-k100-query70,0.000714,6839,7460
gpu_shared_mem-k100-query70,0.000571,6020,6519
gpu_eucdist_opt-k100-query70,0.000714,3478,3959
gpu_bloom_pq-k100-query70,0.044286,5762,6222
gpu_bloom_smmh-k100-query70,0.018714,4017,5098
cpu-k100-query71,0.044225,156455,0
gpu_non_opt-k100-query71,0.000986,6674,7259
gpu_shared_mem-k100-query71,0.000986,5992,6490
gpu_eucdist_opt-k100-query71,0.000986,3903,4425
gpu_bloom_pq-k100-query71,0.044225,5712,6145
gpu_bloom_smmh-k100-query71,0.017465,3897,4930
cpu-k100-query72,0.043611,158932,0
gpu_non_opt-k100-query72,0.000694,7010,7700
gpu_shared_mem-k100-query72,0.000694,5702,6284
gpu_eucdist_opt-k100-query72,0.000694,3897,4426
gpu_bloom_pq-k100-query72,0.043611,6706,7201
gpu_bloom_smmh-k100-query72,0.019167,5120,6334
cpu-k100-query73,0.043151,167191,0
gpu_non_opt-k100-query73,0.000274,8269,9053
gpu_shared_mem-k100-query73,0.001507,6948,7584
gpu_eucdist_opt-k100-query73,0.000274,4232,4840
gpu_bloom_pq-k100-query73,0.043151,6778,7332
gpu_bloom_smmh-k100-query73,0.015479,4640,6054
cpu-k100-query74,0.042973,168943,0
gpu_non_opt-k100-query74,0.002027,8049,8639
gpu_shared_mem-k100-query74,0.001351,6203,6717
gpu_eucdist_opt-k100-query74,0.001892,4475,4889
gpu_bloom_pq-k100-query74,0.043108,6429,6935
gpu_bloom_smmh-k100-query74,0.019595,4281,5491
cpu-k100-query75,0.042800,165088,0
gpu_non_opt-k100-query75,0.001600,8684,9360
gpu_shared_mem-k100-query75,0.002667,6568,7403
gpu_eucdist_opt-k100-query75,0.001600,5835,6460
gpu_bloom_pq-k100-query75,0.042800,7178,7685
gpu_bloom_smmh-k100-query75,0.020667,4716,5937
cpu-k100-query76,0.042632,168269,0
gpu_non_opt-k100-query76,0.003026,7807,8511
gpu_shared_mem-k100-query76,0.003816,6556,7094
gpu_eucdist_opt-k100-query76,0.003289,5626,6146
gpu_bloom_pq-k100-query76,0.042763,6818,7377
gpu_bloom_smmh-k100-query76,0.019211,4669,5965
cpu-k100-query77,0.042078,171735,0
gpu_non_opt-k100-query77,0.003117,7346,7902
gpu_shared_mem-k100-query77,0.002338,5733,6195
gpu_eucdist_opt-k100-query77,0.003247,4848,5290
gpu_bloom_pq-k100-query77,0.042208,5892,6328
gpu_bloom_smmh-k100-query77,0.014416,4042,5127
cpu-k100-query78,0.041923,169581,0
gpu_non_opt-k100-query78,0.002308,7332,7942
gpu_shared_mem-k100-query78,0.002821,6627,7109
gpu_eucdist_opt-k100-query78,0.002308,4694,5122
gpu_bloom_pq-k100-query78,0.041923,6857,7284
gpu_bloom_smmh-k100-query78,0.017436,4299,5435
cpu-k100-query79,0.041646,165998,0
gpu_non_opt-k100-query79,0.002405,8399,9041
gpu_shared_mem-k100-query79,0.002152,6054,6609
gpu_eucdist_opt-k100-query79,0.002278,6189,6780
gpu_bloom_pq-k100-query79,0.041646,7310,7874
gpu_bloom_smmh-k100-query79,0.018481,5584,6851
cpu-k100-query80,0.041375,170504,0
gpu_non_opt-k100-query80,0.001875,8494,9055
gpu_shared_mem-k100-query80,0.001875,5271,5714
gpu_eucdist_opt-k100-query80,0.001875,5689,6147
gpu_bloom_pq-k100-query80,0.041375,6943,7382
gpu_bloom_smmh-k100-query80,0.012500,3859,5059
cpu-k100-query81,0.040864,175243,0
gpu_non_opt-k100-query81,0.001975,8063,8638
gpu_shared_mem-k100-query81,0.001358,5628,6031
gpu_eucdist_opt-k100-query81,0.001975,4327,4765
gpu_bloom_pq-k100-query81,0.040864,6555,6992
gpu_bloom_smmh-k100-query81,0.010247,3852,4930
cpu-k100-query82,0.040488,178310,0
gpu_non_opt-k100-query82,0.001341,8823,9645
gpu_shared_mem-k100-query82,0.001707,6557,7198
gpu_eucdist_opt-k100-query82,0.001341,6081,6740
gpu_bloom_pq-k100-query82,0.040488,6881,7505
gpu_bloom_smmh-k100-query82,0.015122,5422,6720
cpu-k100-query83,0.040482,180159,0
gpu_non_opt-k100-query83,0.002048,7945,8554
gpu_shared_mem-k100-query83,0.002169,5467,5998
gpu_eucdist_opt-k100-query83,0.002048,5307,5872
gpu_bloom_pq-k100-query83,0.040723,6576,7280
gpu_bloom_smmh-k100-query83,0.014940,5081,6359
cpu-k100-query84,0.040119,185597,0
gpu_non_opt-k100-query84,0.001905,7244,7790
gpu_shared_mem-k100-query84,0.001310,5231,5679
gpu_eucdist_opt-k100-query84,0.001905,4824,5285
gpu_bloom_pq-k100-query84,0.040119,6720,7171
gpu_bloom_smmh-k100-query84,0.012143,3969,5088
cpu-k100-query85,0.040235,189944,0
gpu_non_opt-k100-query85,0.002000,8512,9223
gpu_shared_mem-k100-query85,0.002706,6277,6906
gpu_eucdist_opt-k100-query85,0.001882,5130,5627
gpu_bloom_pq-k100-query85,0.040235,6173,6611
gpu_bloom_smmh-k100-query85,0.017529,4005,5164
cpu-k100-query86,0.040000,188283,0
gpu_non_opt-k100-query86,0.002907,7203,7787
gpu_shared_mem-k100-query86,0.002209,6699,7178
gpu_eucdist_opt-k100-query86,0.002558,5293,5766
gpu_bloom_pq-k100-query86,0.040116,6368,6852
gpu_bloom_smmh-k100-query86,0.018023,4014,5223
cpu-k100-query87,0.039540,195505,0
gpu_non_opt-k100-query87,0.001724,8087,8720
gpu_shared_mem-k100-query87,0.001954,6577,7062
gpu_eucdist_opt-k100-query87,0.001494,5598,6104
gpu_bloom_pq-k100-query87,0.039425,7612,8143
gpu_bloom_smmh-k100-query87,0.015747,4122,5330
cpu-k100-query88,0.039773,195477,0
gpu_non_opt-k100-query88,0.002500,7304,7872
